t,x,location,d
0,0,off,0
0.5,0,off,0
1,0,off,0
1.5,0,off,0
2,0,off,0
2.5,0,off,0
3,0,off,0
3.5,0,on,0
4,0.9516258196,on,0.9516258196
4.5,1.8126924692,on,2.7643182889
5,2.5918177932,on,5.356136082
5.5,3.2967995396,on,8.6529356217
6,3.9346934029,on,12.5876290246
6.5,4.5118836391,on,17.0995126636
7,5.0341469621,on,22.1336596257
7.5,5.5067103588,on,27.6403699845
8,5.9343034026,on,33.5746733871
8.5,6.3212055883,on,39.8958789754
9,6.671289163,on,46.5671681384
9.5,6.9880578809,on,53.5552260193
10,7.2746820697,on,60.829908089
10.5,7.5340303606,on,68.3639384496
11,7.7686983985,on,76.1326368481
11.5,7.9810348201,on,84.1136716681
12,8.1731647595,on,92.2868364276
12.5,8.3470111178,on,100.6338475454
13,8.5043138078,on,109.1381613532
13.5,8.6466471676,on,117.7848085208
14,8.7754357175,on,126.5602442383
14.5,8.8919684164,on,135.4522126546
15,8.9974115628,on,144.4496242174
15.5,9.0928204671,on,153.5424446845
16,9.1791500138,on,162.7215946983
16.5,9.2572642179,on,171.9788589161
17,9.3279448726,on,181.3068037887
17.5,9.3918993737,on,190.6987031625
18,9.4497677994,on,200.1484709619
18.5,9.5021293163,on,209.6506002782
19,9.5495079761,on,219.2001082543
19.5,9.5923779602,on,228.7924862145
20,9.631168326,on,238.4236545405
20.5,9.6662673004,on,248.0899218409
21,9.6980261658,on,257.7879480067
21.5,9.7267627755,on,267.5147107822
22,9.7527647353,on,277.2674755175
22.5,9.7762922814,on,287.0437677989
23,9.7975808855,on,296.8413486845
23.5,9.8168436111,on,306.6581922956
24,9.834273246,on,316.4924655416
24.5,9.8500442318,on,326.3425097734
25,9.8643144099,on,336.2068241833
25.5,9.877226601,on,346.0840507842
26,9.8889100346,on,355.9729608188
26.5,9.8994816426,on,365.8724424614
27,9.909047229,on,375.7814896904
27.5,9.9177025295,on,385.6991922199
28,9.9255341693,on,395.6247263892
28.5,9.93262053,on,405.5573469192
29,9.9390325343,on,415.4963794535
29.5,9.9448343558,on,425.4412138093
30,9.9500840609,on,435.3912978703
30.5,9.9548341906,on,445.3461320608
31,9.9591322856,on,455.3052643464
31.5,9.9630213628,on,465.2682857093
32,9.9665403454,on,475.2348260547
32.5,9.9697244525,on,485.2045505073
33,9.9726055518,on,495.1771560591
33.5,9.9752124782,on,505.1523685373
34,9.9775713228,on,515.1299398601
34.5,9.9797056936,on,525.1096455537
35,9.9816369522,on,535.091282506
35.5,9.9833844273,on,545.0746669332
36,9.9849656081,on,555.0596325413
36.5,9.9863963196,on,565.0460288609
37,9.987690881,on,575.0337197419
37.5,9.9888622485,on,585.0225819904
38,9.9899221457,on,595.0125041361
38.5,9.9908811803,on,605.0033853165
39,9.9917489508,on,614.9951342672
39.5,9.9925341419,on,624.9876684092
40,9.9932446122,on,634.9809130214
40.5,,,
41,,,
41.5,,,
42,,,
42.5,,,
43,,,
43.5,,,
44,,,
44.5,,,
45,,,
45.5,,,
46,,,
46.5,,,
47,,,
47.5,,,
48,,,
48.5,,,
49,,,
49.5,,,
50,,,
50.5,,,
51,,,
51.5,,,
52,,,
52.5,,,
53,,,
53.5,,,
54,,,
54.5,,,
55,,,
55.5,,,
56,,,
56.5,,,
57,,,
57.5,,,
58,,,
58.5,,,
59,,,
59.5,,,
60,,,
60.5,,,
61,,,
61.5,,,
62,,,
62.5,,,
63,,,
63.5,,,
64,,,
64.5,,,
65,,,
